name,pipeline_enabled,input_size,cycles,correct
dram_only,True,8,8570,True
L1_caching,True,8,1138,True
L2_caching,True,8,1165,True
L3_caching,True,8,1192,True
dram_only_no_pipelining,False,8,11110,True
L1_caching_no_pipelining,False,8,3270,True
L2_caching_no_pipelining,False,8,3297,True
L3_caching_no_pipelining,False,8,3324,True
dram_only,True,16,27803,True
L1_caching,True,16,3440,True
L2_caching,True,16,3473,True
L3_caching,True,16,3506,True
dram_only_no_pipelining,False,16,35975,True
L1_caching_no_pipelining,False,16,10325,True
L2_caching_no_pipelining,False,16,10358,True
L3_caching_no_pipelining,False,16,10391,True
dram_only,True,32,127228,True
L1_caching,True,32,15386,True
L2_caching,True,32,15431,True
L3_caching,True,32,15476,True
dram_only_no_pipelining,False,32,164620,True
L1_caching_no_pipelining,False,32,46890,True
L2_caching_no_pipelining,False,32,46935,True
L3_caching_no_pipelining,False,32,46980,True
dram_only,True,64,490452,True
L1_caching,True,64,59463,True
L2_caching,True,64,59532,True
L3_caching,True,64,59601,True
dram_only_no_pipelining,False,64,635740,True
L1_caching_no_pipelining,False,64,181840,True
L2_caching_no_pipelining,False,64,181909,True
L3_caching_no_pipelining,False,64,181978,True
dram_only,True,128,2181774,True
L1_caching,True,128,263852,True
L2_caching,True,128,263969,True
L3_caching,True,128,264086,True
dram_only_no_pipelining,False,128,2827950,True
L1_caching_no_pipelining,False,128,808110,True
L2_caching_no_pipelining,False,128,808227,True
L3_caching_no_pipelining,False,128,808344,True
dram_only,True,256,9598259,True
L1_caching,True,256,1165384,True
L2_caching,True,256,1165597,True
L3_caching,True,256,1165810,True
dram_only_no_pipelining,False,256,12455335,True
L1_caching_no_pipelining,False,256,3572055,True
L2_caching_no_pipelining,False,256,3572268,True
L3_caching_no_pipelining,False,256,3572481,True
dram_only,True,512,37125235,True
L1_caching,True,512,4515999,True
L2_caching,True,512,4516404,True
L3_caching,True,512,4516809,True
dram_only_no_pipelining,False,512,48178855,True
L1_caching_no_pipelining,False,512,13818375,True
L2_caching_no_pipelining,False,512,13818780,True
L3_caching_no_pipelining,False,512,13819185,True
dram_only,True,1024,154138564,True
L1_caching,True,1024,18729375,True
L2_caching,True,1024,18730164,True
L3_caching,True,1024,18730953,True
dram_only_no_pipelining,False,1024,200025780,True
L1_caching_no_pipelining,False,1024,57361650,True
L2_caching_no_pipelining,False,1024,57362439,True
L3_caching_no_pipelining,False,1024,57363228,True
dram_only,True,2048,636015475,True
L1_caching,True,2048,77415466,True
L2_caching,True,2048,77417023,True
L3_caching,True,2048,77418580,True
dram_only_no_pipelining,False,2048,825814895,True
L1_caching_no_pipelining,False,2048,237254465,True
L2_caching_no_pipelining,False,2048,237256022,True
L3_caching_no_pipelining,False,2048,237257579,True
